id,kind,src,video,poem,type,work,title,prompt
CINEOSIS-COLLAGE-001,image,cut/out/collage/GRID_ALL.webp,,,gaseous perception,collage · collage,"The whole archive laid flat has no centre, so it perceives without a perceiver.","No protagonist and no horizon. Two thousand small photographic fragments hang in a
pale field and drift at different speeds — a hand, a window, a strip of neon, a
shoulder. Nothing enters and nothing exits. Bands of density slowly migrate
upward like weather. Let fragments rhyme by shape rather than meaning: an ear
answers a doorway, a lamp answers an eye. Never let the camera settle long enough
for any fragment to become the subject. The film ends when the field has
redistributed itself, not when anything has happened."
CINEOSIS-COLLAGE-002,image,cut/out/collage/BY_POEM.webp,,,vector,collage · collage,Fourteen separate worlds become one world by being ruled into the same grid.,"Fourteen panels on one screen, all running at once, each a different poem's
weather: teal drowned room, orange stairwell, red heart on a chest, olive arch,
skeleton in bokeh, pale blue columns, neon and a red coat, rain on glass, blue
starburst, night road, two men on white ground, grey tunnel, a man in smoke, red
figure in lights. Never cut to a single panel. Instead let one element cross a
frame edge into its neighbour — a light leaves 07 and arrives in 08, a figure
walks out of 11 and into 12. The suite is proved by what can traverse it."
CINEOSIS-COLLAGE-003,image,cut/out/collage/BY_TYPE.webp,,,mark,collage · collage,"Sixteen nouns, each stacked into one picture, make meaning out of recurrence.","Sixteen tiles, each a word becoming visible. Begin with all sixteen black. One at
a time, instances arrive and stack — 499 lights, 316 people, 248 windows, 10
doors — each arrival slightly brightening the tile and slightly shifting its
shape. Show the count rising in the corner. The film is over when every word has
been reached by enough examples to look like a thing. Where a word has too few
examples, leave it sparse and unresolved, and hold on it longest."
CINEOSIS-COLLAGE-004,image,cut/out/collage/poem_01.webp,,01 OUT OF LIFE,any-space-whatever,collage · collage,A room dissolved into its own atmosphere stops being a place and becomes a pressure.,"A dim teal room that never resolves. Hold one fixed frame for four minutes. Furniture edges assemble and dissolve without ever agreeing. A window brightens somewhere left of centre and is gone. Vapour moves; nothing else does. No one enters. The room must feel inhabited by having been looked at too many times, not by anyone being in it."
CINEOSIS-COLLAGE-005,image,cut/out/collage/poem_02.webp,,02 FLASHING LIGHTS,figure of the sublime,collage · collage,"One shot, sixteen pieces, and a white figure climbing out of an orange wall.","A burning orange stairwell, flat as a screenprint. One small white cut-out figure climbs. The stairwell is far too large for the figure and the colour far too loud for the event. Nothing else exists. As the figure climbs, the orange intensifies until it is the only fact in the frame. Keep the means visibly poor — hard edges, no gradient, no depth — so that scale does all the work."
CINEOSIS-COLLAGE-006,image,cut/out/collage/poem_03.webp,,03 HOW TO BREAK OFF AN ENGAGEMENT,fetish,collage · collage,A heart printed on a chest turns a body into the object that carries the story's force.,"A man in red half-light, city bokeh behind him. Over his sternum a pale heart-shape sits like a decal, slightly wrong in scale, refusing to move with his breathing. Everything soft-focus except the heart, which stays hard-edged. Push in very slowly. Other people pass and none of them look at it. Do not explain it. End before anything happens to it."
CINEOSIS-COLLAGE-007,image,cut/out/collage/poem_04.webp,,04 NEVERMORE,restrained dream,collage · collage,"A figure under an arch, seen past a bottle, at the hour when nothing is decided.","Olive-gold interior, one lamp burning above an arch. A seated figure, back to us, does not move. In the foreground a bottle stands far too large, in focus, present. Change almost nothing for two minutes. Once, the arch light dims and returns a half-second late. Once, the bottle's reflection shows a room that is not this one. Never cut away and never wake anybody."
CINEOSIS-COLLAGE-008,image,cut/out/collage/poem_05.webp,,05 BLOODLINES,strong destiny,collage · collage,A skeleton laid over a living body makes the past act on the present through the flesh.,"A woman stands in red night light. Over her torso, an X-ray ribcage in the same red, breathing very slightly out of time with her. As she moves, the ribcage lags. Cut once to an older woman standing in exactly the same posture in a different decade, then back. The ribcage now keeps the older woman's time. Her next action must be caused by what the overlay showed."
CINEOSIS-COLLAGE-009,image,cut/out/collage/poem_06.webp,,06 RESURRECTING ATLANTIS,seed and environment,collage · collage,A city built out of faces is a city that has to be read off the people who were in it.,"A pale underwater plaza whose columns, on inspection, are made of standing human figures pressed into one another. Move slowly along the colonnade. Each column occasionally resolves into a face and loses it again. As the camera passes, new columns assemble behind from figures arriving. The city grows out of the bodies and the bodies are held up by the city. Never give a wide shot that settles the question."
CINEOSIS-COLLAGE-010,image,cut/out/collage/poem_07.webp,,07 DJ TURN ME UP,dividual,collage · collage,"Two men, one red coat, and a wall of neon slabs: the crowd as a single instrument.","A club street. Two men stand sharply separate in the foreground. Behind them the signage is not signage but a wall of vertical colour slabs that pulse together as one organism. A woman in red stands between the two conditions, her edges resolving and dissolving with the beat. Let the crowd's feeling arrive first in the slabs, then in her, and last in the two sharp men. No one leads."
